num-db,db,tx-type,count,duration-ms,tx-per-sec
40,11,strong-read,2436,61508.61,39.6042
40,11,weak-read,1218,61508.61,19.8021
40,11,write,406,61508.61,6.6007
40,12,strong-read,2574,61596.12,41.7883
40,12,weak-read,1287,61596.12,20.8942
40,12,write,429,61596.12,6.9647
40,13,strong-read,2418,61610.23,39.2467
40,13,weak-read,1209,61610.23,19.6234
40,13,write,403,61610.23,6.5411
40,14,strong-read,2364,61667.30,38.3347
40,14,weak-read,1182,61667.30,19.1674
40,14,write,394,61667.30,6.3891
40,15,strong-read,2460,61860.08,39.7672
40,15,weak-read,1230,61860.08,19.8836
40,15,write,410,61860.08,6.6279
40,16,strong-read,2550,61884.61,41.2057
40,16,weak-read,1275,61884.61,20.6029
40,16,write,425,61884.61,6.8676
40,17,strong-read,2610,61882.99,42.1764
40,17,weak-read,1305,61882.99,21.0882
40,17,write,435,61882.99,7.0294
40,18,strong-read,2532,61886.15,40.9138
40,18,weak-read,1266,61886.15,20.4569
40,18,write,422,61886.15,6.8190
40,19,strong-read,2574,61909.09,41.5771
40,19,weak-read,1287,61909.09,20.7885
40,19,write,429,61909.09,6.9295
40,20,strong-read,2592,61918.17,41.8617
40,20,weak-read,1296,61918.17,20.9309
40,20,write,432,61918.17,6.9770
40,21,strong-read,2490,61929.12,40.2073
40,21,weak-read,1245,61929.12,20.1036
40,21,write,415,61929.12,6.7012
40,22,strong-read,2430,61949.08,39.2258
40,22,weak-read,1215,61949.08,19.6129
40,22,write,405,61949.08,6.5376
40,23,strong-read,2568,61953.07,41.4507
40,23,weak-read,1284,61953.07,20.7254
40,23,write,428,61953.07,6.9085
40,24,strong-read,2466,61961.92,39.7986
40,24,weak-read,1233,61961.92,19.8993
40,24,write,411,61961.92,6.6331
40,25,strong-read,2520,62006.00,40.6412
40,25,weak-read,1260,62006.00,20.3206
40,25,write,420,62006.00,6.7735
40,26,strong-read,2550,61995.13,41.1323
40,26,weak-read,1275,61995.13,20.5661
40,26,write,425,61995.13,6.8554
40,27,strong-read,2532,62018.65,40.8264
40,27,weak-read,1266,62018.65,20.4132
40,27,write,422,62018.65,6.8044
40,28,strong-read,2562,62011.74,41.3148
40,28,weak-read,1281,62011.74,20.6574
40,28,write,427,62011.74,6.8858
40,29,strong-read,2430,62041.30,39.1675
40,29,weak-read,1215,62041.30,19.5837
40,29,write,405,62041.30,6.5279
40,30,strong-read,2556,62079.90,41.1727
40,30,weak-read,1278,62079.90,20.5864
40,30,write,426,62079.90,6.8621
40,31,strong-read,2520,62090.01,40.5862
40,31,weak-read,1260,62090.01,20.2931
40,31,write,420,62090.01,6.7644
40,32,strong-read,2454,62260.40,39.4151
40,32,weak-read,1227,62260.40,19.7076
40,32,write,409,62260.40,6.5692
40,33,strong-read,2568,62741.20,40.9300
40,33,weak-read,1284,62741.20,20.4650
40,33,write,428,62741.20,6.8217
40,34,strong-read,2640,62811.42,42.0306
40,34,weak-read,1320,62811.42,21.0153
40,34,write,440,62811.42,7.0051
40,35,strong-read,2466,63367.32,38.9160
40,35,weak-read,1233,63367.32,19.4580
40,35,write,411,63367.32,6.4860
40,36,strong-read,2532,63735.34,39.7268
40,36,weak-read,1266,63735.34,19.8634
40,36,write,422,63735.34,6.6211
40,37,strong-read,2382,63993.53,37.2225
40,37,weak-read,1191,63993.53,18.6113
40,37,write,397,63993.53,6.2038
40,38,strong-read,2490,64435.01,38.6436
40,38,weak-read,1245,64435.01,19.3218
40,38,write,415,64435.01,6.4406
40,39,strong-read,2502,66311.23,37.7312
40,39,weak-read,1251,66311.23,18.8656
40,39,write,417,66311.23,6.2885
45,0,strong-read,2196,61169.69,35.9001
45,0,weak-read,1098,61169.69,17.9501
45,0,write,366,61169.69,5.9834
45,1,strong-read,2274,61167.50,37.1766
45,1,weak-read,1137,61167.50,18.5883
45,1,write,379,61167.50,6.1961
45,2,strong-read,2340,61209.19,38.2296
45,2,weak-read,1170,61209.19,19.1148
45,2,write,390,61209.19,6.3716
45,3,strong-read,2292,61243.81,37.4242
45,3,weak-read,1146,61243.81,18.7121
45,3,write,382,61243.81,6.2374
45,4,strong-read,2310,61298.01,37.6847
45,4,weak-read,1155,61298.01,18.8424
45,4,write,385,61298.01,6.2808
45,5,strong-read,2214,61357.32,36.0837
45,5,weak-read,1107,61357.32,18.0419
45,5,write,369,61357.32,6.0140
45,6,strong-read,2340,61367.29,38.1311
45,6,weak-read,1170,61367.29,19.0655
45,6,write,390,61367.29,6.3552
45,7,strong-read,2232,61423.05,36.3381
45,7,weak-read,1116,61423.05,18.1691
45,7,write,372,61423.05,6.0564
45,8,strong-read,2256,61427.16,36.7264
45,8,weak-read,1128,61427.16,18.3632
45,8,write,376,61427.16,6.1211
45,9,strong-read,2280,61454.27,37.1008
45,9,weak-read,1140,61454.27,18.5504
45,9,write,380,61454.27,6.1835
45,10,strong-read,2220,61455.61,36.1236
45,10,weak-read,1110,61455.61,18.0618
45,10,write,370,61455.61,6.0206
45,11,strong-read,2298,61471.93,37.3829
45,11,weak-read,1149,61471.93,18.6915
45,11,write,383,61471.93,6.2305
45,12,strong-read,2286,61486.49,37.1789
45,12,weak-read,1143,61486.49,18.5894
45,12,write,381,61486.49,6.1965
45,13,strong-read,2226,61496.78,36.1970
45,13,weak-read,1113,61496.78,18.0985
45,13,write,371,61496.78,6.0328
45,14,strong-read,2244,61509.66,36.4821
45,14,weak-read,1122,61509.66,18.2410
45,14,write,374,61509.66,6.0803
45,15,strong-read,2280,61516.31,37.0633
45,15,weak-read,1140,61516.31,18.5317
45,15,write,380,61516.31,6.1772
45,16,strong-read,2220,61536.44,36.0762
45,16,weak-read,1110,61536.44,18.0381
45,16,write,370,61536.44,6.0127
45,17,strong-read,2388,61542.37,38.8025
45,17,weak-read,1194,61542.37,19.4013
45,17,write,398,61542.37,6.4671
45,18,strong-read,2262,61550.83,36.7501
45,18,weak-read,1131,61550.83,18.3751
45,18,write,377,61550.83,6.1250
45,19,strong-read,2274,61568.54,36.9344
45,19,weak-read,1137,61568.54,18.4672
45,19,write,379,61568.54,6.1557
45,20,strong-read,2208,61576.00,35.8581
45,20,weak-read,1104,61576.00,17.9291
45,20,write,368,61576.00,5.9764
45,21,strong-read,2184,61597.98,35.4557
45,21,weak-read,1092,61597.98,17.7279
45,21,write,364,61597.98,5.9093
45,22,strong-read,2304,61603.22,37.4006
45,22,weak-read,1152,61603.22,18.7003
45,22,write,384,61603.22,6.2334
45,23,strong-read,2310,61616.04,37.4902
45,23,weak-read,1155,61616.04,18.7451
45,23,write,385,61616.04,6.2484
45,24,strong-read,2208,61635.90,35.8233
45,24,weak-read,1104,61635.90,17.9116
45,24,write,368,61635.90,5.9705
45,25,strong-read,2256,61657.78,36.5891
45,25,weak-read,1128,61657.78,18.2945
45,25,write,376,61657.78,6.0982
45,26,strong-read,2274,61665.95,36.8761
45,26,weak-read,1137,61665.95,18.4381
45,26,write,379,61665.95,6.1460
45,27,strong-read,2262,61688.49,36.6681
45,27,weak-read,1131,61688.49,18.3341
45,27,write,377,61688.49,6.1114
45,28,strong-read,2298,61703.89,37.2424
45,28,weak-read,1149,61703.89,18.6212
45,28,write,383,61703.89,6.2071
45,29,strong-read,2262,61706.31,36.6575
45,29,weak-read,1131,61706.31,18.3288
45,29,write,377,61706.31,6.1096
45,30,strong-read,2316,61718.48,37.5252
45,30,weak-read,1158,61718.48,18.7626
45,30,write,386,61718.48,6.2542
45,31,strong-read,2196,61721.25,35.5793
45,31,weak-read,1098,61721.25,17.7897
45,31,write,366,61721.25,5.9299
45,32,strong-read,2280,61722.80,36.9393
45,32,weak-read,1140,61722.80,18.4697
45,32,write,380,61722.80,6.1566
45,33,strong-read,2274,61801.02,36.7955
45,33,weak-read,1137,61801.02,18.3978
45,33,write,379,61801.02,6.1326
45,34,strong-read,2220,61824.30,35.9082
45,34,weak-read,1110,61824.30,17.9541
45,34,write,370,61824.30,5.9847
45,35,strong-read,2262,61858.94,36.5671
45,35,weak-read,1131,61858.94,18.2835
45,35,write,377,61858.94,6.0945
45,36,strong-read,2316,61859.49,37.4397
45,36,weak-read,1158,61859.49,18.7198
45,36,write,386,61859.49,6.2399
45,37,strong-read,2340,62091.92,37.6861
45,37,weak-read,1170,62091.92,18.8430
45,37,write,390,62091.92,6.2810
45,38,strong-read,2184,62142.33,35.1451
45,38,weak-read,1092,62142.33,17.5726
45,38,write,364,62142.33,5.8575
45,39,strong-read,2286,62199.86,36.7525
45,39,weak-read,1143,62199.86,18.3762
45,39,write,381,62199.86,6.1254
45,40,strong-read,2268,62391.75,36.3510
45,40,weak-read,1134,62391.75,18.1755
45,40,write,378,62391.75,6.0585
45,41,strong-read,2196,62508.40,35.1313
45,41,weak-read,1098,62508.40,17.5656
45,41,write,366,62508.40,5.8552
45,42,strong-read,2328,64549.83,36.0652
